1	1	N3I	NSF	13442	Ὅρασις	ὁρασις	ορασις	ὅρασις	O/(rasij	o(rasij	orasij	o/(rasij	o(/rasij			,	O(/RASIS	O(/RASIS
1	2	N1	VSF	13506	γῆ	γη	γη	γῆ	gh~	gh	gh	gh~	gh=			,	GH=	GH=
1	2	C		4	ὅτι	ὁτι	οτι	ὅτι	o/(ti	o(ti	oti	o/(ti	o(/ti				O(/TI	O(/TI
1	2	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj	kurioj	kurioj	ku/rioj	ku/rioj				KU/RIOS	KU/RIOS
1	2	VAI	AAI3S	633473	ἐλάλησεν	ἐλαλησεν	ελαλησεν	λαλέω	e)la/lhsen	e)lalhsen	elalhsen	lale/w	lale/w			·	E)LA/LHSEN	LALE/W
1	2	N2	APM	9986	υἱοὺς	υἱους	υιους	υἱός	ui(ou\j	ui(ouj	uiouj	ui(o/j	ui(o/j				UI(OU\S	UI(O/S
1	2	VAI	AAI1S	600705	ἐγέννησα	ἐγεννησα	εγεννησα	γεννάω	e)ge/nnhsa	e)gennhsa	egennhsa	genna/w	genna/w				E)GE/NNHSA	GENNA/W
1	2	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	2	VA	AAI1S	600705	ὕψωσα	ὑψωσα	υψωσα	ὑψόω	u/(ywsa	u(ywsa	uywsa	u(yo/w	u(yo/w			,	U(/YWSA	U(YO/W
1	2	RD	NPM	11	αὐτοὶ	αὐτοι	αυτοι	αὐτός	au)toi\	au)toi	autoi	au)to/j	au)to/j				AU)TOI\	AU)TO/S
1	2	X		5	δέ	δε	δε	δέ	de/	de	de	de/	de/				DE/	DE/
1	2	RP	AS	13	με	με	με	μέ	me	me	me	me/	me/				ME	E)GW/
1	2	VAI	AAI3P	895617	ἠθέτησαν	ἠθετησαν	ηθετησαν	ἀθετέω	h)qe/thsan	h)qethsan	hqethsan	a)qete/w	a)qete/w			.	H)QE/THSAN	A)QETE/W
1	3	VZI	AAI3S	633473	ἔγνω	ἐγνω	εγνω	γινώσκω	e/)gnw	e)gnw	egnw	ginw/skw	ginw/skw				E)/GNW	GIGNW/SKW
1	3	N3	NSM	9346	βοῦς	βους	βους	βοῦς	bou~j	bouj	bouj	bou~j	bou=j				BOU=S	BOU=S
1	3	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
1	3	VA	AMPASM	4864961	κτησάμενον	κτησαμενον	κτησαμενον	κτάομαι	kthsa/menon	kthsamenon	kthsamenon	kta/omai	kta/omai				KTHSA/MENON	KTA/OMAI
1	3	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	3	N2	NSM	9346	ὄνος	ὀνος	ονος	ὄνος	o/)noj	o)noj	onoj	o/)noj	o)/noj				O)/NOS	O)/NOS
1	3	RA	ASF	10	τὴν	την	την	ὁ	th\n	thn	thn	o(	o(				TH\N	O(
1	3	N1	ASF	13570	φάτνην	φατνην	φατνην	φάτνη	fa/tnhn	fatnhn	fatnhn	fa/tnh	fa/tnh				FA/TNHN	FA/TNH
1	3	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	3	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	kuri/ou	kuriou	kuriou	ku/rioj	ku/rioj				KURI/OU	KU/RIOS
1	3	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός	au)tou~	au)tou	autou	au)to/j	au)to/j			·	AU)TOU=	AU)TO/S
1	3	N	NSM	9346	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l				*ISRAHL	*I)SRAH/L
1	3	X		5	δέ	δε	δε	δέ	de/	de	de	de/	de/				DE/	DE/
1	3	RP	AS	13	με	με	με	μέ	me	me	me	me/	me/				ME	E)GW/
1	3	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
1	3	VZI	AAI3S	633473	ἔγνω	ἐγνω	εγνω	γινώσκω	e/)gnw	e)gnw	egnw	ginw/skw	ginw/skw			,	E)/GNW	GIGNW/SKW
1	3	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	3	RA	NSM	10	ὁ	ὁ	ο	ὁ	o(	o(	o	o(	o(				O(	O(
1	3	N2	NSM	9346	λαός	λαος	λαος	λαός	lao/j	laoj	laoj	lao/j	lao/j				LAO/S	LAO/S
1	3	RP	AS	13	με	με	με	μέ	me	me	me	me/	me/				ME	E)GW/
1	3	D		9	οὐ	οὐ	ου	οὐ	ou)	ou)	ou	ou)	ou)				OU)	OU)
1	3	VHI	AAI3S	633473	συνῆκεν	συνηκεν	συνηκεν	συνίημι	sunh~ken	sunhken	sunhken	suni/hmi	suni/hmi			.	SUNH=KEN	I(/HMI           SUN
1	4	I		6	οὐαὶ	οὐαι	ουαι	οὐαί	ou)ai\	ou)ai	ouai	ou)ai/	ou)ai/				OU)AI\	OU)AI/
1	4	N3E	NSN	17538	ἔθνος	ἐθνος	εθνος	ἔθνος	e/)qnoj	e)qnoj	eqnoj	e/)qnoj	e)/qnoj				E)/QNOS	E)/QNOS
1	4	A1B	NSN	17539	ἁμαρτωλόν	ἁμαρτωλον	αμαρτωλον	ἁμαρτωλός	a(martwlo/n	a(martwlon	amartwlon	a(martwlo/j	a(martwlo/j			,	A(MARTWLO/N	A(MARTWLO/S
1	4	N2	NSM	9346	λαὸς	λαος	λαος	λαός	lao\j	laoj	laoj	lao/j	lao/j				LAO\S	LAO/S
1	4	A3H	NSM	9347	πλήρης	πληρης	πληρης	πλήρης	plh/rhj	plhrhj	plhrhj	plh/rhj	plh/rhj				PLH/RHS	PLH/RHS
1	4	N1A	GPF	14146	ἁμαρτιῶν	ἁμαρτιων	αμαρτιων	ἁμαρτία	a(martiw~n	a(martiwn	amartiwn	a(marti/a	a(marti/a			,	A(MARTIW=N	A(MARTI/A
1	4	N3M	NSN	17538	σπέρμα	σπερμα	σπερμα	σπέρμα	spe/rma	sperma	sperma	spe/rma	spe/rma				SPE/RMA	SPE/RMA
1	4	A1A	NSN	17539	πονηρόν	πονηρον	πονηρον	πονηρός	ponhro/n	ponhron	ponhron	ponhro/j	ponhro/j			,	PONHRO/N	PONHRO/S
1	4	N2	NPM	9858	υἱοὶ	υἱοι	υιοι	υἱός	ui(oi\	ui(oi	uioi	ui(o/j	ui(o/j				UI(OI\	UI(O/S
1	4	A1B	NPM	9859	ἄνομοι	ἀνομοι	ανομοι	ἄνομος	a/)nomoi	a)nomoi	anomoi	a/)nomoj	a)/nomoj			·	A)/NOMOI	A)/NOMOS
1	4	VBI	AAI2P	895617	ἐγκατελίπατε	ἐγκατελιπατε	εγκατελιπατε	ἐγκαταλείπω	e)gkateli/pate	e)gkatelipate	egkatelipate	e)gkatalei/pw	e)gkatalei/pw				E)GKATELI/PATE	LEI/PW           E)N   KATA
1	4	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
1	4	N2	ASM	9474	κύριον	κυριον	κυριον	κύριος	ku/rion	kurion	kurion	ku/rioj	ku/rioj				KU/RION	KU/RIOS
1	4	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	4	VAI	AAI2P	895617	παρωργίσατε	παρωργισατε	παρωργισατε	παροργίζω	parwrgi/sate	parwrgisate	parwrgisate	parorgi/zw	parorgi/zw				PARWRGI/SATE	O)RGI/ZW         PARA
1	4	RA	ASM	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(	o(				TO\N	O(
1	4	A1A	ASM	9475	ἅγιον	ἁγιον	αγιον	ἅγιος	a/(gion	a(gion	agion	a/(gioj	a(/gioj				A(/GION	A(/GIOS
1	4	RA	GSM	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(	o(				TOU=	O(
1	4	N	GSM	9538	Ισραηλ	ισραηλ	ισραηλ	Ἰσραήλ	Israhl	israhl	israhl	I)srah/l	I)srah/l			.	*ISRAHL	*I)SRAH/L
1	5	RI	ASN	12	τί	τι	τι	τίς	ti/	ti	ti	ti/j	ti/j				TI/	TI/S
1	5	D		9	ἔτι	ἐτι	ετι	ἔτι	e/)ti	e)ti	eti	e/)ti	e)/ti				E)/TI	E)/TI
1	5	VD	APS2P	903937	πληγῆτε	πληγητε	πληγητε	πλήσσω	plhgh~te	plhghte	plhghte	plh/ssw	plh/ssw				PLHGH=TE	PLH/SSW
1	5	V7	PAPNPM	5055937	προστιθέντες	προστιθεντες	προστιθεντες	προστίθημι	prostiqe/ntej	prostiqentej	prostiqentej	prosti/qhmi	prosti/qhmi				PROSTIQE/NTES	TI/QHMI          PROS
1	5	N1A	ASF	13570	ἀνομίαν	ἀνομιαν	ανομιαν	ἀνομία	a)nomi/an	a)nomian	anomian	a)nomi/a	a)nomi/a			;	A)NOMI/AN	A)NOMI/A
1	5	A1S	NSF	13443	πᾶσα	πασα	πασα	πᾶς	pa~sa	pasa	pasa	pa~j	pa=j				PA=SA	PA=S
1	5	N1	NSF	13442	κεφαλὴ	κεφαλη	κεφαλη	κεφαλή	kefalh\	kefalh	kefalh	kefalh/	kefalh/				KEFALH\	KEFALH/
1	5	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
1	5	N2	ASM	9474	πόνον	πονον	πονον	πόνος	po/non	ponon	ponon	po/noj	po/noj				PO/NON	PO/NOS
1	5	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	5	A1S	NSF	13443	πᾶσα	πασα	πασα	πᾶς	pa~sa	pasa	pasa	pa~j	pa=j				PA=SA	PA=S
1	5	N1A	NSF	13442	καρδία	καρδια	καρδια	καρδία	kardi/a	kardia	kardia	kardi/a	kardi/a				KARDI/A	KARDI/A
1	5	P		8	εἰς	εἰς	εις	εἰς	ei)j	ei)j	eij	ei)j	ei)j				EI)S	EI)S
1	5	N1	ASF	13570	λύπην	λυπην	λυπην	λύπη	lu/phn	luphn	luphn	lu/ph	lu/ph			.	LU/PHN	LU/PH
1	6	P		8	ἀπὸ	ἀπο	απο	ἀπό	a)po\	a)po	apo	a)po/	a)po/				A)PO\	A)PO/
1	6	N3D	GPM	10050	ποδῶν	ποδων	ποδων	πούς	podw~n	podwn	podwn	pou/j	pou/j				PODW=N	POU/S
1	6	C		4	ἕως	ἑως	εως	ἕως	e/(wj	e(wj	ewj	e/(wj	e(/wj				E(/WS	E(/WS
1	6	N1	GSF	13634	κεφαλῆς	κεφαλης	κεφαλης	κεφαλή	kefalh~j	kefalhj	kefalhj	kefalh/	kefalh/				KEFALH=S	KEFALH/
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou/)te	ou)te	oute	ou/)te	ou)/te				OU)/TE	OU)/TE
1	6	N3M	NSN	17538	τραῦμα	τραυμα	τραυμα	τραῦμα	trau~ma	trauma	trauma	trau~ma	trau=ma				TRAU=MA	TRAU=MA
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou/)te	ou)te	oute	ou/)te	ou)/te				OU)/TE	OU)/TE
1	6	N3P	NSM	9346	μώλωψ	μωλωψ	μωλωψ	μώλωψ	mw/lwy	mwlwy	mwlwy	mw/lwy	mw/lwy				MW/LWY	MW/LWY
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou/)te	ou)te	oute	ou/)te	ou)/te				OU)/TE	OU)/TE
1	6	N1	NSF	13442	πληγὴ	πληγη	πληγη	πληγή	plhgh\	plhgh	plhgh	plhgh/	plhgh/				PLHGH\	PLHGH/
1	6	V1	PAPNSF	6890945	φλεγμαίνουσα	φλεγμαινουσα	φλεγμαινουσα	φλεγμαίνω	flegmai/nousa	flegmainousa	flegmainousa	flegmai/nw	flegmai/nw			,	FLEGMAI/NOUSA	FLEGMAI/NW
1	6	D		9	οὐκ	οὐκ	ουκ	οὐ	ou)k	ou)k	ouk	ou)	ou)				OU)K	OU)
1	6	V9	PAI3S	631937	ἔστιν	ἐστιν	εστιν	εἰμί	e/)stin	e)stin	estin	ei)mi/	ei)mi/				E)/STIN	EI)MI/
1	6	N3M	ASN	17666	μάλαγμα	μαλαγμα	μαλαγμα	μάλαγμα	ma/lagma	malagma	malagma	ma/lagma	ma/lagma				MA/LAGMA	MA/LAGMA
1	6	VE	AAN	306049	ἐπιθεῖναι	ἐπιθειναι	επιθειναι	ἐπιτίθημι	e)piqei~nai	e)piqeinai	epiqeinai	e)piti/qhmi	e)piti/qhmi				E)PIQEI=NAI	TI/QHMI          E)PI
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou/)te	ou)te	oute	ou/)te	ou)/te				OU)/TE	OU)/TE
1	6	N2N	ASN	17666	ἔλαιον	ἐλαιον	ελαιον	ἔλαιον	e/)laion	e)laion	elaion	e/)laion	e)/laion				E)/LAION	E)/LAION
1	6	C		4	οὔτε	οὐτε	ουτε	οὔτε	ou/)te	ou)te	oute	ou/)te	ou)/te				OU)/TE	OU)/TE
1	6	N3E	APN	18178	καταδέσμους	καταδεσμους	καταδεσμους	καταδέσμους	katade/smouj	katadesmouj	katadesmouj	katade/smouj	katade/smouj			.	KATADE/SMOUS	KATADE/SMOUS
1	7	RA	NSF	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(	o(				H(	O(
1	7	N1	NSF	13442	γῆ	γη	γη	γῆ	gh~	gh	gh	gh~	gh=				GH=	GH=
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw~n	u(mwn	umwn	u(mw~n	u(mw=n				U(MW=N	SU/
1	7	N2	NSF	13442	ἔρημος	ἐρημος	ερημος	ἔρημος	e/)rhmoj	e)rhmoj	erhmoj	e/)rhmoj	e)/rhmoj			,	E)/RHMOS	E)/RHMOS
1	7	RA	NPF	10	αἱ	αἱ	αι	ὁ	ai(	ai(	ai	o(	o(				AI(	O(
1	7	N3I	NPF	13954	πόλεις	πολεις	πολεις	πόλις	po/leij	poleij	poleij	po/lij	po/lij				PO/LEIS	PO/LIS
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw~n	u(mwn	umwn	u(mw~n	u(mw=n				U(MW=N	SU/
1	7	N2	NPM	9858	πυρίκαυστοι	πυρικαυστοι	πυρικαυστοι	πυρίκαυστος	puri/kaustoi	purikaustoi	purikaustoi	puri/kaustoj	puri/kaustoj			·	PURI/KAUSTOI	PURI/KAUSTOS
1	7	RA	ASF	10	τὴν	την	την	ὁ	th\n	thn	thn	o(	o(				TH\N	O(
1	7	N1A	ASF	13570	χώραν	χωραν	χωραν	χώρα	xw/ran	xwran	xwran	xw/ra	xw/ra				XW/RAN	XW/RA
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw~n	u(mwn	umwn	u(mw~n	u(mw=n				U(MW=N	SU/
1	7	P		8	ἐνώπιον	ἐνωπιον	ενωπιον	ἐνώπιος	e)nw/pion	e)nwpion	enwpion	e)nw/pioj	e)nw/pioj				E)NW/PION	E)NW/PION
1	7	RP	GP	13	ὑμῶν	ὑμων	υμων	ὑμῶν	u(mw~n	u(mwn	umwn	u(mw~n	u(mw=n				U(MW=N	SU/
1	7	A1A	NPM	9859	ἀλλότριοι	ἀλλοτριοι	αλλοτριοι	ἀλλότριος	a)llo/trioi	a)llotrioi	allotrioi	a)llo/trioj	a)llo/trioj				A)LLO/TRIOI	A)LLO/TRIOS
1	7	V1	PAI3P	894081	κατεσθίουσιν	κατεσθιουσιν	κατεσθιουσιν	κατεσθίω	katesqi/ousin	katesqiousin	katesqiousin	katesqi/w	katesqi/w				KATESQI/OUSIN	E)SQI/W          KATA
1	7	RD	ASF	11	αὐτήν	αὐτην	αυτην	αὐτός	au)th/n	au)thn	authn	au)to/j	au)to/j			,	AU)TH/N	AU)TO/S
1	7	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	7	VAI	AMI3S	637569	ἠρήμωται	ἠρημωται	ηρημωται	ἐρημόω	h)rh/mwtai	h)rhmwtai	hrhmwtai	e)rhmo/w	e)rhmo/w				H)RH/MWTAI	E)RHMO/W
1	7	VM	XMPNSF	6897089	κατεστραμμένη	κατεστραμμενη	κατεστραμμενη	καταστρέφω	katestramme/nh	katestrammenh	katestrammenh	katastre/fw	katastre/fw				KATESTRAMME/NH	STRE/FW          KATA
1	7	P		8	ὑπὸ	ὑπο	υπο	ὑπό	u(po\	u(po	upo	u(po/	u(po/				U(PO\	U(PO/
1	7	N2	GPM	10050	λαῶν	λαων	λαων	λαός	law~n	lawn	lawn	lao/j	lao/j				LAW=N	LAO/S
1	7	A1A	GPM	10051	ἀλλοτρίων	ἀλλοτριων	αλλοτριων	ἀλλότριος	a)llotri/wn	a)llotriwn	allotriwn	a)llo/trioj	a)llo/trioj			.	A)LLOTRI/WN	A)LLO/TRIOS
1	8	VV	FPI3S	641153	ἐγκαταλειφθήσεται	ἐγκαταλειφθησεται	εγκαταλειφθησεται	ἐγκαταλείπω	e)gkataleifqh/setai	e)gkataleifqhsetai	egkataleifqhsetai	e)gkatalei/pw	e)gkatalei/pw				E)GKATALEIFQH/SETAI	LEI/PW           E)N   KATA
1	8	RA	NSF	10	ἡ	ἡ	η	ὁ	h(	h(	h	o(	o(				H(	O(
1	8	N3	NSF	13442	θυγάτηρ	θυγατηρ	θυγατηρ	θυγάτηρ	quga/thr	qugathr	qugathr	quga/thr	quga/thr				QUGA/THR	QUGA/THR
1	8	N	GSF	13634	Σιων	σιων	σιων	Σιών	Siwn	siwn	siwn	Siw/n	Siw/n				*SIWN	*SIWN
1	8	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
1	8	N1	NSF	13442	σκηνὴ	σκηνη	σκηνη	σκηνή	skhnh\	skhnh	skhnh	skhnh/	skhnh/				SKHNH\	SKHNH/
1	8	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	8	N3W	DSM	9602	ἀμπελῶνι	ἀμπελωνι	αμπελωνι	ἀμπελών	a)mpelw~ni	a)mpelwni	ampelwni	a)mpelw/n	a)mpelw/n				A)MPELW=NI	A)MPELW/N
1	8	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	8	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
1	8	N2N	NSN	17538	ὀπωροφυλάκιον	ὀπωροφυλακιον	οπωροφυλακιον	ὀπωροφυλάκιον	o)pwrofula/kion	o)pwrofulakion	opwrofulakion	o)pwrofula/kion	o)pwrofula/kion				O)PWROFULA/KION	O)PWROFULA/KION
1	8	P		8	ἐν	ἐν	εν	ἐν	e)n	e)n	en	e)n	e)n				E)N	E)N
1	8	N2	DSN	17794	σικυηράτῳ	σικυηρατω	σικυηρατω	σικυήρατον	sikuhra/tw|	sikuhratw	sikuhratw	sikuh/raton	sikuh/raton			,	SIKUHRA/TW|	SIKUH/RATON
1	8	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
1	8	N3I	NSF	13442	πόλις	πολις	πολις	πόλις	po/lij	polij	polij	po/lij	po/lij				PO/LIS	PO/LIS
1	8	V2	PMPNSF	6895041	πολιορκουμένη	πολιορκουμενη	πολιορκουμενη	πολιορκέω	poliorkoume/nh	poliorkoumenh	poliorkoumenh	poliorke/w	poliorke/w			·	POLIORKOUME/NH	POLIORKE/W
1	9	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	9	C		4	εἰ	εἰ	ει	εἰ	ei)	ei)	ei	ei)	ei)				EI)	EI)
1	9	D		9	μὴ	μη	μη	μή	mh\	mh	mh	mh/	mh/				MH\	MH/
1	9	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος	ku/rioj	kurioj	kurioj	ku/rioj	ku/rioj				KU/RIOS	KU/RIOS
1	9	N	G	4930	σαβαωθ	σαβαωθ	σαβαωθ	σαβαώθ	sabawq	sabawq	sabawq	sabaw/q	sabaw/q				SABAWQ	SABAWQ
1	9	VBI	AAI3S	633473	ἐγκατέλιπεν	ἐγκατελιπεν	εγκατελιπεν	ἐγκαταλείπω	e)gkate/lipen	e)gkatelipen	egkatelipen	e)gkatalei/pw	e)gkatalei/pw				E)GKATE/LIPEN	LEI/PW           E)N   KATA
1	9	RP	DP	13	ἡμῖν	ἡμιν	ημιν	ἡμῖν	h(mi~n	h(min	hmin	h(mi~n	h(mi=n				H(MI=N	E)GW/
1	9	N3M	ASN	17666	σπέρμα	σπερμα	σπερμα	σπέρμα	spe/rma	sperma	sperma	spe/rma	spe/rma			,	SPE/RMA	SPE/RMA
1	9	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
1	9	N	ASF	13570	Σοδομα	σοδομα	σοδομα	Σόδομα	Sodoma	sodoma	sodoma	So/doma	So/doma				*SODOMA	*SODOMA
1	9	X		5	ἂν	ἀν	αν	ἄν	a\)n	a)n	an	a/)n	a)/n				A)\N	A)/N
1	9	VCI	API1P	871041	ἐγενήθημεν	ἐγενηθημεν	εγενηθημεν	γίνομαι	e)genh/qhmen	e)genhqhmen	egenhqhmen	gi/nomai	gi/nomai				E)GENH/QHMEN	GI/GNOMAI
1	9	C		4	καὶ	και	και	καί	kai\	kai	kai	kai/	kai/				KAI\	KAI/
1	9	D		9	ὡς	ὡς	ως	ὥς	w(j	w(j	wj	w/(j	w(/j				W(S	W(S
1	9	N	ASF	13570	Γομορρα	γομορρα	γομορρα	Γόμορρα	Gomorra	gomorra	gomorra	Go/morra	Go/morra				*GOMORRA	*GOMORRA
1	9	X		5	ἂν	ἀν	αν	ἄν	a\)n	a)n	an	a/)n	a)/n				A)\N	A)/N
1	9	VCI	API1P	871041	ὡμοιώθημεν	ὡμοιωθημεν	ωμοιωθημεν	ὁμοιόω	w(moiw/qhmen	w(moiwqhmen	wmoiwqhmen	o(moio/w	o(moio/w			.	W(MOIW/QHMEN	O(MOIO/W
1	10	VA	AAD2P	895681	Ἀκούσατε	ἀκουσατε	ακουσατε	ἀκούω	A)kou/sate	a)kousate	akousate	a)kou/w	a)kou/w				A)KOU/SATE	A)KOU/W
1	10	N2	ASM	9474	λόγον	λογον	λογον	λόγος	lo/gon	logon	logon	lo/goj	lo/goj				LO/GON	LO/GOS
1	10	N2	GSM	9538	κυρίου	κυριου	κυριου	κύριος	kuri/ou	kuriou	kuriou	ku/rioj	ku/rioj			,	KURI/OU	KU/RIOS
1	10	N3	NPM	9858	ἄρχοντες	ἀρχοντες	αρχοντες	ἄρχων	a/)rxontej	a)rxontej	arxontej	a/)rxwn	a)/rxwn				A)/RXONTES	A)/RXWN
