1	1	N-	----NSF-	13442	Βίβλος	βιβλος	βιβλος	βίβλος	Bi/bloj	bibloj	bibloj	bi/bloj			
1	2	N-	----APM-	9986	ἀδελφοὺς	ἀδελφους	αδελφους	ἀδελφός	a)delfou\j	a)delfouj	adelfouj	a)delfo/j			
1	2	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός	au)tou~	au)tou	autou	au)to/j			,
1	3	N-	----NSM-	9346	Ἰούδας	ἰουδας	ιουδας	Ἰούδας	I)ou/daj	i)oudaj	ioudaj	I)ou/daj			
1	3	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	3	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	3	N-	----ASM-	9474	Φαρὲς	φαρες	φαρες	Φαρές	Fare\j	farej	farej	Fare/j			
1	3	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	3	N-	----ASM-	9474	Ζάρα	ζαρα	ζαρα	Ζάρα	Za/ra	zara	zara	Za/ra			
1	3	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k			
1	3	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	3	N-	----GSF-	13634	Θαμάρ	θαμαρ	θαμαρ	Θαμάρ	Qama/r	qamar	qamar	Qama/r			,
1	3	N-	----NSM-	9346	Φαρὲς	φαρες	φαρες	Φαρές	Fare\j	farej	farej	Fare/j			
1	3	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	3	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	3	N-	----ASM-	9474	Ἑσρώμ	ἑσρωμ	εσρωμ	Ἑσρώμ	E(srw/m	e(srwm	esrwm	E(srw/m			,
1	3	N-	----NSM-	9346	Ἑσρὼμ	ἑσρωμ	εσρωμ	Ἑσρώμ	E(srw\m	e(srwm	esrwm	E(srw/m			
1	3	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	3	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	3	N-	----ASM-	9474	Ἀράμ	ἀραμ	αραμ	Ἀράμ	A)ra/m	a)ram	aram	A)ra/m			,
1	4	N-	----NSM-	9346	Ἀρὰμ	ἀραμ	αραμ	Ἀράμ	A)ra\m	a)ram	aram	A)ra/m			
1	4	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	4	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	4	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	4	N-	----ASM-	9474	Ἀμιναδάβ	ἀμιναδαβ	αμιναδαβ	Ἀμιναδάβ	A)minada/b	a)minadab	aminadab	A)minada/b			,
1	4	N-	----NSM-	9346	Ἀμιναδὰβ	ἀμιναδαβ	αμιναδαβ	Ἀμιναδάβ	A)minada\b	a)minadab	aminadab	A)minada/b			
1	4	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	4	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	4	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	4	N-	----ASM-	9474	Ναασσών	ναασσων	ναασσων	Ναασσών	Naassw/n	naasswn	naasswn	Naassw/n			,
1	4	N-	----NSM-	9346	Ναασσὼν	ναασσων	ναασσων	Ναασσών	Naassw\n	naasswn	naasswn	Naassw/n			
1	4	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	4	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	4	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	4	N-	----ASM-	9474	Σαλμών	σαλμων	σαλμων	Σαλμών	Salmw/n	salmwn	salmwn	Salmw/n			,
1	5	N-	----NSM-	9346	Σαλμὼν	σαλμων	σαλμων	Σαλμών	Salmw\n	salmwn	salmwn	Salmw/n			
1	5	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	5	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	5	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	5	N-	----ASM-	9474	Βόες	βοες	βοες	Βόες	Bo/ej	boej	boej	Bo/ej			
1	5	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k			
1	5	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	5	N-	----GSF-	13634	Ῥαχάβ	ῥαχαβ	ραχαβ	Ῥαχάβ	R(axa/b	r(axab	raxab	R(axa/b			,
1	5	N-	----NSM-	9346	Βόες	βοες	βοες	Βόες	Bo/ej	boej	boej	Bo/ej			
1	5	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	5	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	5	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	5	N-	----ASM-	9474	Ἰωβὴδ	ἰωβηδ	ιωβηδ	Ἰωβήδ	I)wbh\d	i)wbhd	iwbhd	I)wbh/d			
1	5	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k			
1	5	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	5	N-	----GSF-	13634	Ῥούθ	ῥουθ	ρουθ	Ῥούθ	R(ou/q	r(ouq	rouq	R(ou/q			,
1	5	N-	----NSM-	9346	Ἰωβὴδ	ἰωβηδ	ιωβηδ	Ἰωβήδ	I)wbh\d	i)wbhd	iwbhd	I)wbh/d			
1	5	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	5	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	5	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	5	N-	----ASM-	9474	Ἰεσσαί	ἰεσσαι	ιεσσαι	Ἰεσσαί	I)essai/	i)essai	iessai	I)essai/			,
1	6	N-	----NSM-	9346	Ἰεσσαὶ	ἰεσσαι	ιεσσαι	Ἰεσσαί	I)essai\	i)essai	iessai	I)essai/			
1	6	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	6	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	6	N-	----ASM-	9474	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ	Daui\d	dauid	dauid	Daui/d			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	6	N-	----ASM-	9474	βασιλέα	βασιλεα	βασιλεα	βασιλεύς	basile/a	basilea	basilea	basileu/j			.
1	6	N-	----NSM-	9346	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ	Daui\d	dauid	dauid	Daui/d			
1	6	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	6	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	6	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	6	N-	----ASM-	9474	Σολομῶνα	σολομωνα	σολομωνα	Σολομών	Solomw~na	solomwna	solomwna	Solomw/n			
1	6	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ	e)k	e)k	ek	e)k			
1	6	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	6	RA	----GSM-	10	τοῦ	του	του	ὁ	tou~	tou	tou	o(			
1	6	N-	----GSM-	9538	Οὐρίου	οὐριου	ουριου	Οὐρίας	Ou)ri/ou	ou)riou	ouriou	Ou)ri/aj			,
1	7	N-	----NSM-	9346	Σολομὼν	σολομων	σολομων	Σολομών	Solomw\n	solomwn	solomwn	Solomw/n			
1	7	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	7	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	7	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	7	N-	----ASM-	9474	Ῥοβοάμ	ῥοβοαμ	ροβοαμ	Ῥοβοάμ	R(oboa/m	r(oboam	roboam	R(oboa/m			,
1	7	N-	----NSM-	9346	Ῥοβοὰμ	ῥοβοαμ	ροβοαμ	Ῥοβοάμ	R(oboa\m	r(oboam	roboam	R(oboa/m			
1	7	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	7	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	7	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	7	N-	----ASM-	9474	Ἀβιά	ἀβια	αβια	Ἀβιά	A)bia/	a)bia	abia	A)bia/			,
1	7	N-	----NSM-	9346	Ἀβιὰ	ἀβια	αβια	Ἀβιά	A)bia\	a)bia	abia	A)bia/			
1	7	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	7	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	7	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	7	N-	----ASM-	9474	Ἀσάφ	ἀσαφ	ασαφ	Ἀσάφ	A)sa/f	a)saf	asaf	A)sa/f			,
1	8	N-	----NSM-	9346	Ἀσὰφ	ἀσαφ	ασαφ	Ἀσάφ	A)sa\f	a)saf	asaf	A)sa/f			
1	8	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	8	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	8	N-	----ASM-	9474	Ἰωσαφάτ	ἰωσαφατ	ιωσαφατ	Ἰωσαφάτ	I)wsafa/t	i)wsafat	iwsafat	I)wsafa/t			,
1	8	N-	----NSM-	9346	Ἰωσαφὰτ	ἰωσαφατ	ιωσαφατ	Ἰωσαφάτ	I)wsafa\t	i)wsafat	iwsafat	I)wsafa/t			
1	8	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	8	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	8	N-	----ASM-	9474	Ἰωράμ	ἰωραμ	ιωραμ	Ἰωράμ	I)wra/m	i)wram	iwram	I)wra/m			,
1	8	N-	----NSM-	9346	Ἰωρὰμ	ἰωραμ	ιωραμ	Ἰωράμ	I)wra\m	i)wram	iwram	I)wra/m			
1	8	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	8	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	8	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	8	N-	----ASM-	9474	Ὀζίαν	ὀζιαν	οζιαν	Ὀζίας	O)zi/an	o)zian	ozian	O)zi/aj			,
1	9	N-	----NSM-	9346	Ὀζίας	ὀζιας	οζιας	Ὀζίας	O)zi/aj	o)ziaj	oziaj	O)zi/aj			
1	9	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	9	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	9	N-	----ASM-	9474	Ἰωαθάμ	ἰωαθαμ	ιωαθαμ	Ἰωαθάμ	I)waqa/m	i)waqam	iwaqam	I)waqa/m			,
1	9	N-	----NSM-	9346	Ἰωαθὰμ	ἰωαθαμ	ιωαθαμ	Ἰωαθάμ	I)waqa\m	i)waqam	iwaqam	I)waqa/m			
1	9	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	9	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	9	N-	----ASM-	9474	Ἀχάζ	ἀχαζ	αχαζ	Ἀχάζ	A)xa/z	a)xaz	axaz	A)xa/z			,
1	9	N-	----NSM-	9346	Ἀχὰζ	ἀχαζ	αχαζ	Ἀχάζ	A)xa\z	a)xaz	axaz	A)xa/z			
1	9	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	9	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	9	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	9	N-	----ASM-	9474	Ἑζεκίαν	ἑζεκιαν	εζεκιαν	Ἑζεκίας	E(zeki/an	e(zekian	ezekian	E(zeki/aj			,
1	10	N-	----NSM-	9346	Ἑζεκίας	ἑζεκιας	εζεκιας	Ἑζεκίας	E(zeki/aj	e(zekiaj	ezekiaj	E(zeki/aj			
1	10	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	10	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	10	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	10	N-	----ASM-	9474	Μανασσῆ	μανασση	μανασση	Μανασσῆς	Manassh~	manassh	manassh	Manassh~j			,
1	10	N-	----NSM-	9346	Μανασσῆς	μανασσης	μανασσης	Μανασσῆς	Manassh~j	manasshj	manasshj	Manassh~j			
1	10	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	10	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	10	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	10	N-	----ASM-	9474	Ἀμώς	ἀμως	αμως	Ἀμώς	A)mw/j	a)mwj	amwj	A)mw/j			,
1	10	N-	----NSM-	9346	Ἀμὼς	ἀμως	αμως	Ἀμώς	A)mw\j	a)mwj	amwj	A)mw/j			
1	10	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	10	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	10	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	10	N-	----ASM-	9474	Ἰωσίαν	ἰωσιαν	ιωσιαν	Ἰωσίας	I)wsi/an	i)wsian	iwsian	I)wsi/aj			,
1	11	N-	----NSM-	9346	Ἰωσίας	ἰωσιας	ιωσιας	Ἰωσίας	I)wsi/aj	i)wsiaj	iwsiaj	I)wsi/aj			
1	11	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	11	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	11	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	11	N-	----ASM-	9474	Ἰεχονίαν	ἰεχονιαν	ιεχονιαν	Ἰεχονίας	I)exoni/an	i)exonian	iexonian	I)exoni/aj			
1	11	C-	--------	4	καὶ	και	και	καί	kai\	kai	kai	kai/			
1	11	RA	----APM-	10	τοὺς	τους	τους	ὁ	tou\j	touj	touj	o(			
1	11	N-	----APM-	9986	ἀδελφοὺς	ἀδελφους	αδελφους	ἀδελφός	a)delfou\j	a)delfouj	adelfouj	a)delfo/j			
1	11	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός	au)tou~	au)tou	autou	au)to/j			
1	11	P-	--------	7	ἐπὶ	ἐπι	επι	ἐπί	e)pi\	e)pi	epi	e)pi/			
1	11	RA	----GSF-	10	τῆς	της	της	ὁ	th~j	thj	thj	o(			
1	11	N-	----GSF-	13634	μετοικεσίας	μετοικεσιας	μετοικεσιας	μετοικεσία	metoikesi/aj	metoikesiaj	metoikesiaj	metoikesi/a			
1	11	N-	----GSF-	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών	Babulw~noj	babulwnoj	babulwnoj	Babulw/n			.
1	12	P-	--------	7	Μετὰ	μετα	μετα	μετά	Meta\	meta	meta	meta/			
1	12	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	12	RA	----ASF-	10	τὴν	την	την	ὁ	th\n	thn	thn	o(			
1	12	N-	----ASF-	13570	μετοικεσίαν	μετοικεσιαν	μετοικεσιαν	μετοικεσία	metoikesi/an	metoikesian	metoikesian	metoikesi/a			
1	12	N-	----GSF-	13634	Βαβυλῶνος	βαβυλωνος	βαβυλωνος	Βαβυλών	Babulw~noj	babulwnoj	babulwnoj	Babulw/n			
1	12	N-	----NSM-	9346	Ἰεχονίας	ἰεχονιας	ιεχονιας	Ἰεχονίας	I)exoni/aj	i)exoniaj	iexoniaj	I)exoni/aj			
1	12	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	12	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	12	N-	----ASM-	9474	Σαλαθιήλ	σαλαθιηλ	σαλαθιηλ	Σαλαθιήλ	Salaqih/l	salaqihl	salaqihl	Salaqih/l			,
1	12	N-	----NSM-	9346	Σαλαθιὴλ	σαλαθιηλ	σαλαθιηλ	Σαλαθιήλ	Salaqih\l	salaqihl	salaqihl	Salaqih/l			
1	12	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	12	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	12	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	12	N-	----ASM-	9474	Ζοροβαβέλ	ζοροβαβελ	ζοροβαβελ	Ζοροβαβέλ	Zorobabe/l	zorobabel	zorobabel	Zorobabe/l			,
1	13	N-	----NSM-	9346	Ζοροβαβὲλ	ζοροβαβελ	ζοροβαβελ	Ζοροβαβέλ	Zorobabe\l	zorobabel	zorobabel	Zorobabe/l			
1	13	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	13	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	13	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	13	N-	----ASM-	9474	Ἀβιούδ	ἀβιουδ	αβιουδ	Ἀβιούδ	A)biou/d	a)bioud	abioud	A)biou/d			,
1	13	N-	----NSM-	9346	Ἀβιοὺδ	ἀβιουδ	αβιουδ	Ἀβιούδ	A)biou\d	a)bioud	abioud	A)biou/d			
1	13	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	13	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	13	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	13	N-	----ASM-	9474	Ἐλιακίμ	ἐλιακιμ	ελιακιμ	Ἐλιακίμ	E)liaki/m	e)liakim	eliakim	E)liaki/m			,
1	13	N-	----NSM-	9346	Ἐλιακὶμ	ἐλιακιμ	ελιακιμ	Ἐλιακίμ	E)liaki\m	e)liakim	eliakim	E)liaki/m			
1	13	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	13	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	13	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	13	N-	----ASM-	9474	Ἀζώρ	ἀζωρ	αζωρ	Ἀζώρ	A)zw/r	a)zwr	azwr	A)zw/r			,
1	14	N-	----NSM-	9346	Ἀζὼρ	ἀζωρ	αζωρ	Ἀζώρ	A)zw\r	a)zwr	azwr	A)zw/r			
1	14	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	14	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	14	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	14	N-	----ASM-	9474	Σαδώκ	σαδωκ	σαδωκ	Σαδώκ	Sadw/k	sadwk	sadwk	Sadw/k			,
1	14	N-	----NSM-	9346	Σαδὼκ	σαδωκ	σαδωκ	Σαδώκ	Sadw\k	sadwk	sadwk	Sadw/k			
1	14	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	14	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	14	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	14	N-	----ASM-	9474	Ἀχίμ	ἀχιμ	αχιμ	Ἀχίμ	A)xi/m	a)xim	axim	A)xi/m			,
1	14	N-	----NSM-	9346	Ἀχὶμ	ἀχιμ	αχιμ	Ἀχίμ	A)xi\m	a)xim	axim	A)xi/m			
1	14	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	14	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	14	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	14	N-	----ASM-	9474	Ἐλιούδ	ἐλιουδ	ελιουδ	Ἐλιούδ	E)liou/d	e)lioud	elioud	E)liou/d			,
1	15	N-	----NSM-	9346	Ἐλιοὺδ	ἐλιουδ	ελιουδ	Ἐλιούδ	E)liou\d	e)lioud	elioud	E)liou/d			
1	15	C-	--------	4	δὲ	δε	δε	δέ	de\	de	de	de/			
1	15	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω	e)ge/nnhsen	e)gennhsen	egennhsen	genna/w			
1	15	RA	----ASM-	10	τὸν	τον	τον	ὁ	to\n	ton	ton	o(			
1	15	N-	----ASM-	9474	Ἐλεάζαρ	ἐλεαζαρ	ελεαζαρ	Ἐλεάζαρ	E)lea/zar	e)leazar	eleazar	E)lea/zar			,
